ccode,year,REER,growth_RGDP,log_RGDP,NOMLRATE,forecasterror,PDEBT,UNRATE,INVGDP,OUTPUTGAP,PRIMARYBAL,PUBINVRATIO
NLD,2011,102.6926,0.017578048,6.523048547,2.99,0.633004304,61.173,6,15.67651861,-1.0565077,-2.5626017,4.2549462
NLD,2012,100.81008,-0.009826892,6.513221654,1.93,0.568588882,65.7005,6.8,14.73386283,-2.542026,-2.0968291,3.856543
NLD,2013,103.54391,-0.000302378,6.512919276,1.96,0.477499094,67.1731,8.2,14.45714706,-3.0243539,-1.1818495,3.7420725
NLD,2014,103.50373,0.015997465,6.528916741,1.45,-0.196810994,67.1777,8.4,13.8279202,-2.1070423,-0.7226356,3.5618978
NLD,2015,100,0.020984327,6.549901069,0.69,0.318917923,63.8101,7.9,18.20760182,-1.5086191,-0.4380877,3.599242
NLD,2016,101.23715,0.023953664,6.573854733,0.29,0.0344369,60.8924,7,15.8446211,-0.5224312,1.4150727,3.4495782
NLD,2017,101.81951,0.027435642,6.601290375,0.52,0.0183481,55.9944,5.9,16.38146075,0.5129009,2.3357186,3.3767901
NLD,2018,103.32463,0.022336084,6.623626459,0.58,-0.1253745,51.5576,4.9,16.60719979,0.9194996,2.3794795,3.343821
NLD,2019,103.68931,0.02274038,6.646366839,-0.07,0.0057303,47.5826,4.4,17.51479632,1.109848,2.5586701,3.3927597
PRT,2000,95.59368,0.037452115,5.162273322,5.59,0.304133891,54.1931,4.8,23.39553555,2.0882211,-0.1637666,4.6075033
PRT,2001,98.0366,0.019249784,5.181523106,5.16,1.165891304,57.3802,4.8,22.34848831,1.1910056,-1.7531945,5.0331059
PRT,2002,100.54498,0.007679988,5.189203093,5.01,0.729818579,60.0437,6,21.24931342,-0.0711786,-0.451828,4.6077893
PRT,2003,105.48086,-0.00934877,5.179854324,4.18,0.998614465,63.8973,7.5,19.38404673,-2.2822221,-3.0409838,4.3763905
PRT,2004,106.74231,0.017729041,5.197583365,4.14,2.028548447,67.0995,7.8,18.98717491,-1.7531875,-3.6348496,4.4368942
PRT,2005,105.79069,0.00778805,5.205371415,3.44,1.206885278,72.2491,9,19.04717485,-1.8042594,-3.5622225,4.0794007
PRT,2006,106.19872,0.016119892,5.221491307,3.91,0.873376249,73.6794,9.1,19.17685199,-1.0383964,-1.3845143,3.3559992
PRT,2007,107.31253,0.024756622,5.246247929,4.42,0.973047711,72.728,9.5,19.29296446,0.7562668,0.0911197,3.2166575
PRT,2008,107.97793,0.003187504,5.249435432,4.52,1.418907582,75.6425,9,19.13889118,0.5102076,-0.6992075,3.7133427
PRT,2009,107.36391,-0.031718882,5.21771655,4.21,1.395725015,87.7991,11.2,17.09394333,-2.3577532,-6.8926835,4.1076538
PRT,2010,104.05504,0.017227495,5.234944045,5.4,2.760005097,100.0754,12.6,15.37800427,-0.5304693,-8.5019294,5.2700331
PRT,2011,104.77009,-0.017284066,5.217659978,10.24,1.069955785,114.2591,13.5,15.00188296,-1.5873176,-3.4610193,3.482231
PRT,2012,103.09609,-0.041352051,5.176307927,10.55,0.432177257,128.8489,16.6,13.41071611,-4.1595232,-1.3745207,2.4674444
PRT,2013,103.44447,-0.00988985,5.166418077,6.29,0.3125402,131.2886,17.2,12.65064095,-4.1470459,-0.4447032,2.1802759
PRT,2014,102.97213,0.007386539,5.173804616,3.75,-0.470486296,132.8386,14.6,13.11907901,-3.2825441,-2.5504851,1.9916661
PRT,2015,100,0.015772642,5.189577258,2.42,0.156811912,131.4134,13,13.4005843,-2.0874912,0.0595342,2.2534918
PRT,2016,101.63304,0.019843533,5.209420791,3.17,-0.2990035,131.5827,11.5,14.17613295,-0.9690098,2.1521536,1.5505893
PRT,2017,102.32894,0.032609208,5.242029998,3.05,0.1413774,126.4261,9.2,15.29684808,0.842469,0.7313213,1.7888166
PRT,2018,103.33061,0.02903758,5.271067578,1.84,-0.1821216,121.5919,7.2,15.97647193,2.1176208,2.8941795,1.8523139
PRT,2019,101.43442,0.027086425,5.298154003,0.76,-0.1035714,116.5451,6.6,16.58560613,3.1248711,3.0192098,1.8472198
